,Team,Over Record,Over %,Under %,Total +/-,Year,Rank,Record,FBS,FEI,OFEI,DFEI,NDE,NPD,NAY,NPP,ELS,GLS,ALS
479,Arizona,8-4-0,66.7,33.3,5.5,2011,65,4-8,3-8,-0.09,0.34,-0.38,-0.6,-0.7,-0.03,-0.77,1.65,4.05,7.07
480,UNLV,7-4-1,63.6,36.4,2.0,2011,115,2-10,2-9,-1.07,-1.47,-0.92,-2.17,-2.09,-0.329,-3.07,1.02,2.46,4.86
481,Purdue,7-4-2,63.6,36.4,2.9,2011,70,7-6,6-6,-0.12,-0.5,0.05,-0.52,-0.45,-0.048,-0.87,1.11,3.29,6.52
482,Toledo,8-5-0,61.5,38.5,13.1,2011,36,9-4,8-4,0.25,0.23,0.28,0.66,0.74,0.084,0.35,0.5,1.91,5.21
483,Western Michigan,8-5-0,61.5,38.5,5.7,2011,58,7-6,6-6,-0.01,0.08,-0.15,0.47,0.65,0.051,0.11,0.4,1.6,4.59
484,New Mexico State,8-5-0,61.5,38.5,5.1,2011,110,4-9,4-9,-0.78,-0.8,-0.71,-0.87,-0.9,-0.14,-0.79,0.28,1.27,4.32
485,Kansas State,8-5-0,61.5,38.5,1.6,2011,20,10-3,9-3,0.52,0.27,0.73,0.22,0.3,-0.036,-0.63,1.5,4.63,8.3
486,Vanderbilt,8-5-0,61.5,38.5,1.2,2011,28,6-7,5-7,0.33,-0.12,0.93,0.4,0.38,0.033,0.44,1.37,3.83,7.43
487,Arkansas,8-5-0,61.5,38.5,1.2,2011,13,11-2,10-2,0.67,0.48,0.77,0.81,0.96,0.126,1.21,1.97,4.5,7.56
488,Georgia Tech,8-5-0,61.5,38.5,2.7,2011,42,8-5,7-5,0.19,0.51,0.02,0.6,0.52,0.07,0.73,0.33,1.9,5.5
489,Boise State,8-5-0,61.5,38.5,3.8,2011,7,12-1,12-1,0.9,0.9,1.06,2.21,2.23,0.34,1.62,0.43,2.11,5.53
490,Kansas,7-5-0,58.3,41.7,2.7,2011,105,2-10,1-10,-0.59,-0.68,-0.49,-2.09,-2.23,-0.318,-3.22,1.41,4.61,8.45
491,North Texas,7-5-0,58.3,41.7,1.2,2011,101,5-7,5-7,-0.5,-1.12,-0.13,-0.76,-0.7,-0.09,-1.28,0.97,2.06,4.35
492,Connecticut,7-5-0,58.3,41.7,1.8,2011,59,5-7,4-7,-0.01,-1.08,0.81,-0.39,-0.31,-0.055,-0.77,0.3,2.27,6.36
493,Western Kentucky,7-5-0,58.3,41.7,-2.7,2011,84,7-5,7-4,-0.27,-0.73,0.05,-0.04,0.02,0.006,-0.81,0.79,1.37,3.3
494,Bowling Green,7-5-0,58.3,41.7,0.1,2011,89,5-7,4-7,-0.41,-0.78,-0.04,-0.39,-0.25,-0.028,-0.27,0.25,1.44,4.51
495,Washington,7-5-1,58.3,41.7,7.2,2011,50,7-6,6-6,0.1,0.46,-0.06,-0.1,-0.16,-0.045,-0.12,1.32,3.79,7.32
496,Washington State,7-5-0,58.3,41.7,3.3,2011,77,4-8,3-8,-0.18,-0.08,-0.07,-0.37,-0.46,-0.031,-0.7,1.0,2.84,5.92
497,Houston,8-6-0,57.1,42.9,2.5,2011,14,13-1,12-1,0.62,1.1,0.25,1.81,1.7,0.22,2.48,0.2,1.26,4.55
498,Oregon State,6-5-1,54.6,45.5,-3.3,2011,73,3-9,3-8,-0.12,-0.61,0.29,-1.03,-1.01,-0.086,-0.78,1.52,3.91,7.38
499,Missouri,7-6-0,53.9,46.2,-1.6,2011,22,8-5,7-5,0.48,0.26,0.77,0.35,0.4,0.04,0.86,1.35,4.26,8.06
500,LSU,7-6-1,53.9,46.2,-0.9,2011,2,13-1,12-1,1.38,0.71,1.91,1.69,1.7,0.164,1.72,2.41,5.43,9.15
501,Utah State,7-6-0,53.9,46.2,4.0,2011,80,7-6,6-6,-0.24,-0.02,-0.08,0.59,0.53,0.047,0.98,0.13,0.85,3.57
502,Texas A&M,7-6-0,53.9,46.2,2.5,2011,11,7-6,7-6,0.68,0.6,0.85,0.83,0.93,0.153,1.33,1.42,4.5,8.4
503,Stanford,7-6-0,53.9,46.2,3.3,2011,6,11-2,11-2,1.03,1.25,0.99,1.7,1.84,0.208,1.4,1.39,3.68,7.22
504,Iowa,7-6-0,53.9,46.2,0.0,2011,34,7-6,6-6,0.26,0.16,0.43,0.26,0.23,-0.002,0.52,0.92,3.31,6.99
505,North Carolina,7-6-0,53.9,46.2,1.0,2011,57,7-6,6-6,0.04,-0.38,0.56,0.04,-0.04,-0.046,0.51,0.3,2.15,6.46
506,San Diego State,7-6-0,53.9,46.2,-2.2,2011,71,8-5,7-5,-0.12,-0.31,0.19,0.31,0.27,0.043,0.19,0.77,2.14,4.39
507,Auburn,7-6-0,53.9,46.2,-0.2,2011,51,8-5,7-5,0.1,-0.26,0.16,-0.6,-0.46,-0.072,-0.66,2.03,4.55,7.64
508,Tulane,7-6-0,53.9,46.2,1.0,2011,116,2-11,1-11,-1.08,-1.59,-0.55,-1.46,-1.67,-0.148,-1.75,0.29,1.1,3.61
509,Georgia,7-7-0,50.0,50.0,1.1,2011,16,10-4,9-4,0.6,0.08,1.38,0.87,0.92,0.14,1.14,1.58,4.5,8.48
510,Clemson,7-7-0,50.0,50.0,8.2,2011,44,10-4,9-4,0.18,0.05,0.35,0.3,0.34,0.067,0.41,0.51,2.79,7.2
511,Miami (OH),6-6-0,50.0,50.0,-5.6,2011,83,4-8,4-8,-0.26,-0.73,0.22,-0.02,-0.13,-0.017,-0.08,0.31,1.61,4.73
512,Kent State,6-6-0,50.0,50.0,-3.2,2011,96,5-7,4-7,-0.44,-1.73,0.81,-0.66,-0.61,-0.151,-1.27,0.94,2.12,4.58
513,San Jose State,6-6-0,50.0,50.0,2.6,2011,93,5-7,5-7,-0.42,-0.96,0.1,-0.45,-0.47,-0.043,-0.45,0.54,1.6,4.32
514,Army,6-6-0,50.0,50.0,1.8,2011,104,3-9,2-9,-0.59,-0.88,-0.34,-1.09,-1.22,-0.107,-1.21,0.21,1.54,5.02
515,Ohio,7-7-0,50.0,50.0,-2.2,2011,72,10-4,9-4,-0.12,-0.39,0.07,0.5,0.57,0.098,0.67,0.19,0.93,3.67
516,UAB,6-6-0,50.0,50.0,0.4,2011,113,3-9,3-9,-0.91,-0.86,-1.01,-1.35,-1.31,-0.175,-1.43,0.4,1.9,4.74
517,Maryland,6-6-0,50.0,50.0,3.1,2011,92,2-10,1-10,-0.42,-0.63,-0.21,-1.18,-1.36,-0.132,-0.78,0.53,2.77,6.82
518,Navy,6-6-0,50.0,50.0,1.7,2011,69,5-7,4-7,-0.11,0.44,-0.59,0.03,-0.1,-0.012,-0.28,0.43,1.89,4.92
519,Michigan State,7-7-0,50.0,50.0,-1.2,2011,12,11-3,10-3,0.68,-0.02,1.35,0.77,0.77,0.145,1.3,1.8,4.66,7.87
520,USC,6-6-0,50.0,50.0,1.8,2011,10,10-2,10-2,0.75,0.77,0.83,1.1,1.23,0.164,1.28,1.15,3.39,7.0
521,Colorado State,6-6-0,50.0,50.0,2.2,2011,111,3-9,2-9,-0.8,-1.29,-0.4,-1.07,-1.06,-0.132,-1.2,0.51,1.48,3.66
522,Akron,6-6-0,50.0,50.0,3.0,2011,119,1-11,0-11,-1.35,-1.94,-1.04,-2.53,-2.58,-0.321,-2.59,0.22,1.27,4.21
523,South Florida,6-6-0,50.0,50.0,1.5,2011,43,5-7,4-7,0.18,-0.41,0.76,0.22,0.19,0.03,0.36,0.42,2.39,6.29
524,Troy,6-6-0,50.0,50.0,-0.8,2011,109,3-9,3-9,-0.73,-1.24,-0.24,-0.76,-0.77,-0.094,-0.96,0.3,1.2,3.76
525,Kentucky,6-6-0,50.0,50.0,-4.5,2011,76,5-7,4-7,-0.18,-1.17,0.77,-0.78,-0.69,-0.137,-1.29,1.2,3.42,6.77
526,UL Monroe,6-6-0,50.0,50.0,-1.8,2011,87,4-8,3-8,-0.39,-0.59,0.02,0.02,-0.13,0.001,-0.08,0.34,1.47,4.02
527,Northern Illinois,7-7-0,50.0,50.0,4.4,2011,54,11-3,10-3,0.07,0.22,0.03,0.82,0.68,0.091,1.36,0.66,1.55,4.17
528,Alabama,6-7-0,46.2,53.9,-3.5,2011,1,12-1,11-1,1.38,0.87,2.04,2.46,2.3,0.367,3.57,1.82,4.15,7.6
529,Wake Forest,6-7-0,46.2,53.9,0.0,2011,67,6-7,5-7,-0.1,-0.24,0.19,-0.22,-0.28,-0.061,-0.42,0.47,2.53,6.69
530,Nevada,6-7-0,46.2,53.9,-3.2,2011,60,7-6,7-6,-0.03,-0.09,0.21,0.57,0.41,0.102,0.67,0.89,2.27,4.71
531,Oklahoma,6-7-0,46.2,53.9,-1.8,2011,8,10-3,10-3,0.87,0.37,1.36,1.2,1.27,0.207,1.24,1.29,4.52,8.83
532,Cincinnati,6-7-0,46.2,53.9,-1.5,2011,29,10-3,9-3,0.33,-0.19,0.85,0.65,0.63,0.081,0.78,0.28,2.16,6.37
533,Northwestern,6-7-0,46.2,53.9,-0.5,2011,56,6-7,5-7,0.06,0.42,-0.17,0.13,0.06,-0.023,-0.36,0.83,3.03,6.44
534,Louisiana Tech,6-7-0,46.2,53.9,-2.4,2011,49,8-5,7-5,0.11,-0.66,0.92,0.56,0.49,0.071,0.38,0.4,1.76,4.79
535,Temple,6-7-0,46.2,53.9,-3.3,2011,27,9-4,8-4,0.33,-0.15,0.56,1.16,1.4,0.143,1.14,0.16,0.75,3.28
536,Ohio State,6-7-0,46.2,53.9,-0.4,2011,30,6-7,6-7,0.3,-0.32,0.95,0.31,0.34,0.008,-0.07,1.26,3.98,7.73
537,Colorado,6-7-0,46.2,53.9,0.7,2011,102,3-10,3-10,-0.55,-0.5,-0.49,-1.31,-1.45,-0.176,-1.44,1.27,3.78,7.65
538,Florida,6-7-0,46.2,53.9,-0.8,2011,25,7-6,6-6,0.42,-0.4,0.94,-0.06,0.17,0.035,0.75,1.95,4.54,7.69
539,NC State,6-7-0,46.2,53.9,-0.4,2011,61,8-5,6-5,-0.04,-0.6,0.73,0.22,0.15,0.018,-0.24,0.28,1.77,5.32
540,BYU,6-7-0,46.2,53.9,-1.5,2011,46,10-3,9-3,0.17,-0.1,0.55,0.6,0.6,0.118,0.19,0.35,1.67,4.82
541,Oklahoma State,5-6-2,45.5,54.6,5.0,2011,4,12-1,12-1,1.09,1.03,1.35,1.8,1.92,0.188,1.94,1.4,4.6,8.77
542,Tennessee,5-6-1,45.5,54.6,-7.3,2011,48,5-7,4-7,0.17,-0.22,0.67,-0.22,-0.3,-0.029,-0.31,2.07,4.66,7.43
543,Minnesota,5-7-0,41.7,58.3,-1.5,2011,91,3-9,3-8,-0.42,-0.73,-0.39,-1.59,-1.49,-0.19,-1.18,1.34,3.9,7.14
544,Buffalo,5-7-0,41.7,58.3,0.1,2011,107,3-9,2-9,-0.64,-0.88,-0.5,-0.89,-1.02,-0.068,-0.85,0.17,1.21,4.32
545,Wyoming,5-7-1,41.7,58.3,-0.8,2011,100,8-5,6-5,-0.47,-0.72,-0.26,-0.52,-0.7,-0.083,-0.72,0.6,2.13,4.73
546,Ole Miss,5-7-0,41.7,58.3,-2.7,2011,90,2-10,1-10,-0.42,-1.01,-0.04,-1.69,-1.54,-0.244,-2.43,1.86,4.26,7.57
547,Eastern Michigan,5-7-0,41.7,58.3,-7.7,2011,103,6-6,4-6,-0.56,-0.99,-0.12,-0.5,-0.58,-0.049,-0.71,0.4,1.57,3.97
548,East Carolina,5-7-0,41.7,58.3,-2.3,2011,88,5-7,5-7,-0.39,-0.6,0.03,-0.2,-0.11,-0.059,-0.41,0.45,2.02,5.02
549,Texas,5-7-1,41.7,58.3,-4.5,2011,19,8-5,8-5,0.53,-0.31,1.41,0.43,0.43,0.056,0.65,1.34,4.31,8.39
550,Mississippi State,5-8-0,38.5,61.5,-5.4,2011,38,7-6,6-6,0.25,-0.64,0.95,0.01,0.06,-0.009,0.47,1.94,4.11,6.84
551,California,5-8-0,38.5,61.5,-1.5,2011,41,7-6,6-6,0.22,-0.22,0.75,0.03,0.02,0.011,0.09,1.31,3.7,7.17
552,Michigan,5-8-0,38.5,61.5,-3.6,2011,9,11-2,11-2,0.81,0.61,0.98,1.27,1.27,0.141,1.35,0.59,2.98,7.46
553,Louisville,5-8-0,38.5,61.5,-4.3,2011,53,7-6,6-6,0.08,-0.44,0.37,-0.1,0.0,-0.02,-0.34,0.27,2.01,6.29
554,Pittsburgh,5-8-0,38.5,61.5,-3.3,2011,47,6-7,5-7,0.17,-0.54,0.73,0.01,-0.03,-0.016,-0.01,0.44,2.72,7.1
555,Marshall,5-8-0,38.5,61.5,-0.3,2011,86,7-6,7-6,-0.36,-1.1,0.35,-0.46,-0.52,-0.063,-0.41,0.42,2.19,5.93
556,Iowa State,5-8-0,38.5,61.5,-3.3,2011,52,6-7,5-7,0.08,-0.64,0.65,-0.74,-0.77,-0.097,-1.22,1.45,4.71,8.66
557,South Carolina,5-8-0,38.5,61.5,-1.3,2011,17,11-2,10-2,0.59,-0.14,1.41,0.89,0.72,0.092,1.03,0.63,3.23,7.66
558,Nebraska,5-8-0,38.5,61.5,-0.1,2011,26,9-4,8-4,0.38,0.07,0.56,0.16,0.37,0.038,0.21,1.27,3.9,7.57
559,Florida Atlantic,4-7-1,36.4,63.6,-2.1,2011,117,1-11,1-11,-1.12,-1.78,-0.4,-1.47,-1.54,-0.247,-1.53,0.36,1.46,4.15
560,UCLA,5-9-0,35.7,64.3,-0.1,2011,74,6-8,6-8,-0.13,-0.02,-0.1,-0.65,-0.72,-0.061,-0.04,1.5,4.5,8.76
561,Utah,4-8-1,33.3,66.7,-4.2,2011,45,8-5,7-5,0.18,-0.9,1.18,0.08,0.27,-0.017,0.11,0.41,2.33,6.53
562,UCF,4-8-0,33.3,66.7,-3.5,2011,68,5-7,4-7,-0.11,-0.48,0.36,0.42,0.5,0.113,0.34,0.16,1.03,3.78
563,Notre Dame,4-8-1,33.3,66.7,-4.0,2011,15,8-5,8-5,0.62,0.3,1.01,0.79,0.74,0.108,1.04,1.32,4.1,8.09
564,Duke,4-8-0,33.3,66.7,-1.8,2011,85,3-9,3-8,-0.32,-0.29,-0.27,-0.65,-0.67,-0.05,-1.24,0.69,2.47,5.8
565,New Mexico,4-8-0,33.3,66.7,-1.5,2011,120,1-11,1-10,-1.56,-1.78,-1.41,-2.87,-2.97,-0.381,-2.42,0.68,2.22,4.75
566,UTEP,4-8-0,33.3,66.7,1.5,2011,95,5-7,4-7,-0.43,-0.46,-0.47,-0.53,-0.38,-0.056,-0.5,0.31,1.56,4.31
567,Rice,4-8-0,33.3,66.7,-3.4,2011,98,4-8,4-8,-0.44,-1.11,-0.09,-0.97,-0.92,-0.126,-1.64,0.49,2.36,5.81
568,Arkansas State,4-9-0,30.8,69.2,-1.9,2011,62,10-3,9-3,-0.05,-0.58,0.47,0.72,0.69,0.104,0.82,0.15,0.8,3.22
569,Tulsa,4-9-0,30.8,69.2,-0.3,2011,39,8-5,8-5,0.24,-0.01,0.5,0.51,0.52,0.06,1.16,1.34,3.37,6.14
570,Florida State,4-9-0,30.8,69.2,-6.3,2011,18,9-4,8-4,0.54,-0.35,1.18,0.63,0.85,0.094,0.98,0.65,2.52,6.19
571,Virginia Tech,4-9-1,30.8,69.2,-5.7,2011,31,11-3,10-3,0.27,-0.11,0.7,0.56,0.62,0.115,0.65,0.44,2.15,6.34
572,Memphis,3-9-0,25.0,75.0,-3.2,2011,118,2-10,1-10,-1.17,-1.73,-0.84,-1.8,-1.9,-0.306,-2.82,0.16,0.92,3.41
573,Virginia,3-10-0,23.1,76.9,-3.6,2011,78,8-5,7-5,-0.23,-0.74,0.47,-0.06,-0.11,0.013,0.13,0.32,2.03,5.81
574,Rutgers,3-10-0,23.1,76.9,-3.7,2011,40,9-4,8-4,0.23,-0.78,1.08,0.27,0.34,0.041,-0.24,0.25,2.02,6.3
575,Florida International,3-10-0,23.1,76.9,-7.0,2011,81,8-5,8-5,-0.25,-0.96,0.35,0.38,0.49,0.037,0.51,0.13,0.57,3.01
576,Illinois,3-10-0,23.1,76.9,-7.0,2011,55,7-6,6-6,0.07,-0.91,1.2,0.1,-0.07,0.039,0.47,0.96,2.99,6.67
577,Penn State,2-10-1,16.7,83.3,-9.6,2011,37,9-4,8-4,0.25,-0.85,1.33,-0.02,0.05,0.024,0.3,1.61,4.05,7.58
578,Boston College,1-10-1,9.1,90.9,-4.8,2011,79,4-8,3-8,-0.24,-1.04,0.61,-0.65,-0.66,-0.094,-0.98,0.42,2.29,6.11
579,Louisiana Tech,11-1-0,91.7,8.3,21.1,2012,48,9-3,9-3,0.2,1.08,-0.59,1.11,1.04,0.138,0.36,0.79,1.72,3.69
580,Duke,10-2-0,83.3,16.7,7.4,2012,75,6-7,5-7,-0.23,-0.09,-0.41,-0.68,-0.58,-0.076,-1.69,0.72,2.95,6.64
581,Marshall,9-2-0,81.8,18.2,16.4,2012,96,5-7,4-7,-0.47,0.23,-0.9,-0.12,-0.18,0.013,0.01,0.18,1.0,3.69
582,Tennessee,9-2-0,81.8,18.2,14.4,2012,49,5-7,4-7,0.2,0.52,-0.07,-0.13,-0.17,0.014,-0.1,1.9,4.33,7.12
583,UL Monroe,9-3-1,75.0,25.0,4.8,2012,64,8-5,8-5,-0.06,0.06,-0.18,0.4,0.34,0.061,-0.06,0.25,1.18,4.15
584,Arizona,9-3-0,75.0,25.0,7.2,2012,38,8-5,7-5,0.3,0.68,0.01,0.09,-0.06,0.027,0.49,1.45,4.44,8.18
585,UTSA,6-2-0,75.0,25.0,6.9,2012,109,8-4,4-4,-0.69,-0.64,-0.83,-0.64,-0.76,-0.135,-0.71,0.19,0.98,2.65
586,Indiana,8-3-0,72.7,27.3,10.2,2012,73,4-8,3-8,-0.21,0.1,-0.59,-0.44,-0.34,-0.058,-0.36,0.5,2.29,5.49
587,UCF,10-4-0,71.4,28.6,4.8,2012,39,10-4,10-4,0.3,0.27,0.32,1.08,1.2,0.091,0.85,0.29,1.47,4.74
588,Temple,6-3-1,66.7,33.3,7.3,2012,93,4-7,3-7,-0.43,-0.55,-0.45,-1.01,-0.81,-0.144,-1.54,0.28,1.82,5.13
589,Baylor,8-4-0,66.7,33.3,7.9,2012,19,8-5,7-5,0.57,1.33,-0.17,0.48,0.36,0.083,0.87,1.28,4.45,8.6
590,Oklahoma State,8-4-0,66.7,33.3,3.2,2012,11,8-5,7-5,0.76,0.66,0.91,0.9,1.13,0.101,1.42,1.17,4.19,8.34
591,Purdue,8-4-0,66.7,33.3,5.8,2012,71,6-7,5-7,-0.2,-0.54,0.28,-0.51,-0.52,-0.079,-0.86,1.03,3.46,6.7
592,Nebraska,8-4-1,66.7,33.3,5.8,2012,27,10-4,9-4,0.42,0.36,0.74,0.39,0.44,0.054,0.54,1.19,4.54,8.91
593,San Jose State,8-4-0,66.7,33.3,1.5,2012,46,11-2,10-2,0.23,0.15,0.43,1.13,1.12,0.17,1.51,0.48,2.01,4.73
594,Texas Tech,8-4-0,66.7,33.3,6.7,2012,37,8-5,7-5,0.31,0.56,0.09,0.14,0.08,0.035,0.7,1.33,4.16,7.59
595,South Carolina,8-4-0,66.7,33.3,1.8,2012,8,11-2,10-2,0.81,0.3,1.34,1.18,1.1,0.106,1.22,1.36,4.36,7.93
596,UCLA,9-5-0,64.3,35.7,1.1,2012,33,9-5,9-5,0.35,0.05,0.64,0.47,0.51,0.076,0.01,1.03,4.12,8.49
597,Syracuse,7-4-1,63.6,36.4,-0.5,2012,40,8-5,7-5,0.3,0.37,0.3,0.48,0.4,0.104,0.39,0.43,2.57,6.88
598,Arkansas,7-4-0,63.6,36.4,-4.2,2012,59,4-8,3-8,0.07,0.02,0.3,-0.48,-0.58,-0.015,0.19,2.07,4.56,7.66
599,Central Michigan,7-4-1,63.6,36.4,2.4,2012,105,7-6,6-6,-0.58,-0.42,-0.63,-0.31,-0.34,-0.061,0.1,0.19,0.98,3.52
600,North Carolina,7-4-0,63.6,36.4,6.9,2012,53,8-4,7-4,0.17,0.31,-0.03,0.67,0.71,0.069,0.93,0.14,1.05,4.12
601,Memphis,7-4-0,63.6,36.4,0.9,2012,100,4-8,4-7,-0.51,-1.04,0.07,-0.32,-0.45,-0.084,-0.79,0.14,0.81,3.28
602,Eastern Michigan,7-4-0,63.6,36.4,4.5,2012,115,2-10,2-9,-0.79,-0.83,-0.58,-1.05,-1.04,-0.161,-1.36,0.18,1.05,4.0
603,Wisconsin,8-5-0,61.5,38.5,0.2,2012,15,8-6,7-6,0.6,0.39,1.03,1.05,0.97,0.14,1.52,0.85,3.63,7.9
604,Kent State,8-5-0,61.5,38.5,3.2,2012,62,11-3,10-3,-0.03,-0.54,0.38,0.5,0.57,0.019,0.34,0.17,0.91,3.59
605,Kansas State,7-5-0,58.3,41.7,-0.4,2012,4,11-2,10-2,1.01,0.82,1.15,1.22,1.45,0.122,0.86,1.53,4.63,8.43
606,Western Kentucky,7-5-0,58.3,41.7,0.7,2012,72,7-6,6-6,-0.2,-0.48,0.25,0.24,0.19,0.027,0.27,0.9,1.53,3.82
607,East Carolina,7-5-0,58.3,41.7,7.0,2012,87,8-5,7-5,-0.36,-0.47,-0.33,-0.17,-0.07,0.005,-0.16,0.41,1.42,3.91
608,Penn State,7-5-0,58.3,41.7,0.9,2012,28,8-4,8-4,0.41,0.12,0.97,1.11,1.11,0.151,0.73,0.48,2.04,5.44
609,Nevada,7-5-0,58.3,41.7,6.7,2012,67,7-6,6-6,-0.11,0.46,-0.61,0.32,0.22,0.05,-0.05,0.26,1.37,4.24
610,Massachusetts,7-5-0,58.3,41.7,0.0,2012,123,1-11,1-11,-1.34,-1.69,-1.03,-2.23,-2.23,-0.263,-2.69,0.36,1.45,4.12
611,Florida State,7-5-0,58.3,41.7,-0.2,2012,12,12-2,10-2,0.73,0.24,1.2,1.39,1.43,0.226,2.77,0.58,2.35,6.0
612,Troy,7-5-0,58.3,41.7,0.8,2012,81,5-7,5-7,-0.3,-0.35,-0.19,0.06,0.06,0.042,-0.21,0.16,0.98,3.8
613,Louisiana,7-5-0,58.3,41.7,5.7,2012,65,9-4,8-4,-0.06,0.08,-0.17,0.4,0.32,0.01,0.97,0.61,1.83,4.28
614,Oregon State,7-5-0,58.3,41.7,-1.0,2012,16,9-4,8-4,0.6,0.12,1.02,0.44,0.52,0.064,0.65,1.37,4.46,8.56
615,Florida International,7-5-0,58.3,41.7,2.3,2012,101,3-9,3-9,-0.53,-0.91,-0.02,-0.43,-0.59,-0.059,-0.31,0.17,1.14,4.29
616,Oklahoma,7-5-0,58.3,41.7,1.3,2012,9,10-3,9-3,0.79,0.89,0.88,0.89,0.89,0.13,0.38,1.95,5.33,8.95
617,Oregon,7-5-0,58.3,41.7,0.3,2012,3,12-1,11-1,1.21,1.3,1.24,2.06,2.08,0.188,1.78,1.08,3.92,7.76
618,Louisville,7-5-0,58.3,41.7,5.5,2012,50,11-2,10-2,0.19,0.54,0.21,0.86,0.73,0.093,0.71,0.51,2.15,5.53
619,Alabama,7-5-1,58.3,41.7,1.4,2012,1,13-1,12-1,1.52,1.35,1.85,2.35,2.49,0.292,2.68,1.85,5.12,9.0
620,Washington State,6-5-0,54.6,45.5,-3.1,2012,91,3-9,2-9,-0.41,-0.82,-0.06,-1.14,-1.2,-0.131,-0.8,1.2,3.65,6.85
621,New Mexico State,6-5-0,54.6,45.5,0.5,2012,124,1-11,0-11,-1.34,-1.58,-1.24,-2.22,-2.29,-0.234,-2.11,0.3,1.44,4.06
622,Maryland,6-5-0,54.6,45.5,2.6,2012,85,4-8,3-8,-0.33,-1.12,0.37,-0.63,-0.62,-0.08,-0.59,0.5,2.13,5.39
623,Cincinnati,6-5-0,54.6,45.5,-1.9,2012,31,10-3,8-3,0.38,0.14,0.75,0.99,1.1,0.089,1.46,0.18,1.39,4.8
624,Colorado,6-5-0,54.6,45.5,7.7,2012,120,1-11,1-10,-0.9,-0.97,-1.01,-2.3,-2.27,-0.298,-3.0,1.15,3.72,7.27
625,Illinois,6-5-0,54.6,45.5,-0.1,2012,107,2-10,1-10,-0.63,-1.31,0.13,-1.56,-1.71,-0.18,-1.8,0.69,3.09,6.85
626,UAB,6-5-0,54.6,45.5,5.8,2012,112,3-9,2-9,-0.71,-0.77,-0.66,-1.06,-1.21,-0.11,-0.88,0.5,1.78,4.31
627,Hawaii,6-5-0,54.6,45.5,1.3,2012,119,3-9,2-9,-0.9,-1.69,-0.36,-1.66,-1.61,-0.128,-1.81,0.39,1.9,4.71
628,Ball State,7-6-0,53.9,46.2,3.0,2012,70,9-4,9-4,-0.18,-0.13,-0.44,-0.14,0.07,0.041,-0.48,0.34,1.52,4.57
629,Texas,7-6-0,53.9,46.2,5.0,2012,18,9-4,9-4,0.57,0.69,0.48,0.49,0.41,0.063,0.52,1.47,4.87,8.88
630,Georgia,7-6-0,53.9,46.2,2.3,2012,5,12-2,11-2,0.96,0.96,1.14,1.58,1.64,0.179,2.18,1.72,4.46,8.16
631,Michigan,7-6-0,53.9,46.2,-1.2,2012,17,8-5,8-5,0.58,0.47,0.72,0.76,0.85,0.074,1.28,1.68,4.12,7.42
632,Georgia Tech,7-6-0,53.9,46.2,2.7,2012,47,7-7,6-7,0.21,0.65,0.08,0.5,0.29,0.047,-0.08,1.01,3.52,7.52
633,Clemson,6-6-0,50.0,50.0,5.8,2012,14,11-2,10-2,0.6,0.85,0.27,1.05,1.06,0.127,0.51,0.82,2.73,6.12
634,Arizona State,6-6-0,50.0,50.0,3.5,2012,23,8-5,7-5,0.47,0.13,0.84,0.81,0.68,0.147,1.2,1.03,3.12,6.45
635,Houston,6-6-0,50.0,50.0,3.1,2012,86,5-7,5-7,-0.35,-0.76,0.12,-0.04,-0.08,-0.024,0.42,0.19,1.04,3.85
636,Vanderbilt,6-6-0,50.0,50.0,-0.8,2012,26,9-4,8-4,0.44,-0.12,0.89,0.53,0.64,0.059,0.52,1.19,3.72,7.06
637,Ole Miss,6-6-0,50.0,50.0,3.1,2012,22,7-6,6-6,0.49,0.18,0.95,0.38,0.42,0.022,0.44,2.3,5.03,8.1
638,Arkansas State,6-6-0,50.0,50.0,-2.1,2012,56,10-3,9-3,0.11,0.4,-0.01,0.61,0.54,0.036,0.88,0.75,1.8,4.57
639,UNLV,6-6-0,50.0,50.0,0.1,2012,111,2-11,2-10,-0.7,-1.09,-0.41,-1.03,-1.05,-0.171,-1.04,0.28,1.44,4.39
640,UTEP,6-6-0,50.0,50.0,-4.1,2012,92,3-9,3-9,-0.43,-0.81,-0.26,-0.83,-0.76,-0.099,-0.81,0.63,2.42,5.38
641,Ohio State,6-6-0,50.0,50.0,6.5,2012,21,12-0,12-0,0.5,0.17,0.85,0.97,0.97,0.074,1.03,0.59,2.64,6.12
642,Virginia Tech,6-6-0,50.0,50.0,-2.7,2012,57,7-6,6-6,0.09,-0.73,0.94,-0.03,-0.04,0.007,0.29,0.56,2.72,6.81
643,West Virginia,6-6-0,50.0,50.0,8.4,2012,43,7-6,6-6,0.28,0.81,-0.16,-0.03,-0.11,-0.027,0.05,1.36,4.44,8.2
644,Boise State,6-7-0,46.2,53.9,-4.8,2012,30,11-2,11-2,0.38,0.07,0.83,1.46,1.57,0.195,1.67,0.3,1.62,4.51
645,Rice,6-7-0,46.2,53.9,0.3,2012,80,7-6,7-6,-0.29,-0.61,-0.28,-0.23,-0.11,-0.004,-0.89,0.2,1.04,3.86
646,Missouri,5-6-0,45.5,54.6,1.7,2012,41,5-7,4-7,0.3,-0.56,0.92,-0.84,-0.89,-0.097,-1.14,2.57,5.75,8.85
