,Team,Over Record,Over %,Under %,Total +/-,Year,Rank,Record,FBS,FEI,OFEI,DFEI,NDE,NPD,NAY,NPP,ELS,GLS,ALS
37,Louisville,6-5-0,54.6,45.5,0.8,2007,48,6-6,5-6,0.17,0.39,0.07,0.02,-0.02,0.004,-0.22,0.91,3.35,6.95
38,Penn State,7-6-0,53.9,46.2,0.5,2007,22,9-4,9-4,0.46,-0.17,1.08,0.92,1.02,0.132,1.01,0.65,2.92,6.84
39,East Carolina,7-6-0,53.9,46.2,4.5,2007,67,8-5,8-5,-0.1,-0.51,0.33,0.08,0.2,-0.028,-0.02,0.66,2.19,5.41
40,Colorado,7-6-0,53.9,46.2,4.5,2007,49,6-7,6-7,0.16,-0.44,0.66,-0.17,-0.19,0.003,-0.43,1.31,4.15,7.97
41,Clemson,6-6-0,50.0,50.0,1.5,2007,11,9-4,8-4,0.65,0.21,1.14,1.16,1.16,0.185,1.33,0.49,2.68,6.86
42,Washington State,6-6-0,50.0,50.0,0.5,2007,64,5-7,5-7,-0.07,-0.03,0.19,-0.13,-0.38,0.02,0.66,0.87,3.68,7.7
43,Duke,6-6-0,50.0,50.0,3.0,2007,89,1-11,1-11,-0.44,-0.86,0.09,-0.93,-1.13,-0.202,-1.14,0.47,2.6,6.92
44,Nebraska,6-6-0,50.0,50.0,13.7,2007,60,5-7,5-7,0.02,0.1,-0.43,-0.78,-0.73,-0.069,-0.07,1.15,4.0,7.96
45,Georgia,6-6-0,50.0,50.0,-0.3,2007,9,11-2,10-2,0.78,0.26,1.14,0.79,0.94,0.063,0.73,0.89,3.98,8.63
46,Alabama,6-6-0,50.0,50.0,-1.2,2007,30,7-6,6-6,0.34,-0.28,0.86,0.05,0.15,0.045,0.09,1.03,3.86,7.95
47,Memphis,6-6-0,50.0,50.0,2.6,2007,101,7-6,6-6,-0.57,-0.32,-0.73,-0.4,-0.55,-0.066,-0.9,0.13,0.65,3.2
48,Purdue,6-6-0,50.0,50.0,2.4,2007,55,8-5,7-5,0.12,-0.42,0.62,0.26,0.15,0.018,0.64,0.58,2.29,5.87
49,Indiana,6-6-0,50.0,50.0,0.6,2007,61,7-6,6-6,0.01,-0.39,0.22,-0.18,-0.04,-0.023,0.24,0.41,2.26,6.16
50,Florida International,6-6-0,50.0,50.0,1.2,2007,116,1-11,1-11,-0.88,-1.57,-0.16,-1.66,-1.71,-0.24,-1.93,0.59,2.26,5.39
51,Rutgers,6-6-0,50.0,50.0,2.8,2007,34,8-5,7-5,0.31,0.08,0.64,0.65,0.56,0.087,1.02,0.8,2.9,6.39
52,Air Force,6-6-0,50.0,50.0,4.3,2007,53,9-4,8-4,0.13,0.02,0.28,0.59,0.46,0.038,0.51,0.24,1.42,4.8
53,Tennessee,7-7-0,50.0,50.0,2.4,2007,20,10-4,10-4,0.5,0.23,0.73,0.37,0.49,0.037,0.27,1.39,4.87,9.46
54,Buffalo,6-6-0,50.0,50.0,-1.7,2007,100,5-7,5-7,-0.57,-1.05,-0.39,-0.6,-0.49,-0.09,-0.68,0.23,0.87,2.99
55,Tulsa,7-7-0,50.0,50.0,5.0,2007,62,10-4,10-4,0.0,0.18,-0.09,0.64,0.58,0.072,1.07,0.56,1.78,4.58
56,West Virginia,6-7-0,46.2,53.9,-0.7,2007,1,11-2,11-2,0.97,0.7,1.14,1.54,1.61,0.217,2.03,0.82,3.35,7.65
57,Virginia Tech,6-7-0,46.2,53.9,1.8,2007,14,11-3,10-3,0.56,-0.37,1.4,0.67,0.74,0.077,0.86,1.01,3.68,7.88
58,Oregon,6-7-0,46.2,53.9,1.3,2007,10,9-4,9-4,0.75,0.49,1.14,1.09,1.12,0.115,0.91,0.86,3.99,8.88
59,California,6-7-0,46.2,53.9,-2.3,2007,35,7-6,7-6,0.3,0.1,0.63,0.27,0.09,0.028,0.75,0.91,3.82,8.3
60,Troy,5-6-0,45.5,54.6,0.3,2007,45,8-4,7-4,0.19,-0.65,0.93,0.44,0.45,0.093,0.4,0.84,2.42,4.65
61,Virginia,5-6-2,45.5,54.6,1.3,2007,46,9-4,9-4,0.19,-0.37,0.73,0.29,0.32,0.014,-0.04,0.42,2.36,6.7
62,Arizona,5-6-0,45.5,54.6,-1.3,2007,37,5-7,4-7,0.26,-0.33,0.77,-0.24,-0.11,-0.018,0.39,0.86,3.63,7.7
63,Northwestern,5-6-0,45.5,54.6,4.9,2007,79,6-6,5-6,-0.28,-0.38,-0.25,-0.69,-0.71,-0.034,-0.37,0.57,2.33,5.63
64,New Mexico State,5-6-0,45.5,54.6,2.3,2007,115,4-9,2-9,-0.87,-0.66,-0.62,-0.77,-1.1,-0.111,-0.83,0.26,1.25,3.71
65,UL Monroe,5-6-0,45.5,54.6,-4.9,2007,90,6-6,5-6,-0.46,-0.82,-0.1,-0.58,-0.48,-0.092,-1.09,0.35,1.63,4.39
66,UCF,6-8-0,42.9,57.1,0.8,2007,43,10-4,10-4,0.2,-0.21,0.73,0.8,0.8,0.079,0.91,0.41,1.82,5.24
67,Oklahoma,6-8-0,42.9,57.1,2.5,2007,2,11-3,11-3,0.93,0.54,1.19,1.45,1.55,0.157,1.48,1.43,4.37,8.15
